伯爵の釵	伯爵の釵
烏滸がましゅうござりますが、従って手前どもも、太夫様の福分、徳分、未曾有の御人気の、はや幾分かおこぼれを頂戴いたしたも同じ儀で、かような心嬉しい事はござりませぬ。	烏滸がましうござりますが、従つて手前どもも、太夫様の福分、徳分、未曾有の御人気の、はや幾分かおこぼれを頂戴いたしたも同じ儀で、恁やうな心嬉しい事はござりませぬ。
なおかくの通りの旱魃、市内はもとより近郷隣国、ただ炎の中に悶えまする時、希有の大魚の躍りましたは、甘露、法雨やがて、禽獣草木に到るまでも、雨に蘇生りまする前表かとも存じまする。	尚ほ恁くの通りの旱魃、市内は素より近郷隣国、唯炎の中に悶えまする時、希有の大魚の躍りましたは、甘露、法雨やがて、禽獣草木に到るまでも、雨に蘇生りまする前表かとも存じまする。
三宝の利益、四方の大慶。	三宝の利益、四方の大慶。
太夫様にお祝儀を申上げ、われらとても心祝いに、この鯉魚を肴に、祝うて一献、心ばかりの粗酒を差上げとう存じまする。	太夫様にお祝儀を申上げ、われらとても心祝ひに、此の鯉魚を肴に、祝うて一｜献、心ばかりの粗酒を差上げたう存じまする。
まず風情はなくとも、あの島影にお船を繋ぎ、涼しく水ものをさしあげて、やがてお席を母屋の方へ移しましょう。」	先づ風情はなくとも、あの島影にお船を繋ぎ、涼しく水ものをさしあげて、やがてお席を母屋の方へ移しませう。」
で、辞退も会釈もさせず、紋着の法然頭は、もう屋形船の方へ腰を据えた。	で、辞退も会釈もさせず、紋着の法然頭は、最う屋形船の方へ腰を据ゑた。
若衆に取寄せさせた、調度を控えて、島の柳に纜った頃は、そうでもない、汀の人立を遮るためと、用意の紫の幕を垂れた。	若衆に取寄せさせた、調度を控へて、島の柳に纜つた頃は、然うでもない、汀の人立を遮るためと、用意の紫の幕を垂れた。
「神慮の鯉魚、等閑にはいたしますまい。	「神慮の鯉魚、等閑にはいたしますまい。
略儀ながら不束な田舎料理の庖丁をお目に掛けまする。」	略儀ながら不束な田舎料理の庖丁をお目に掛けまする。」
と、ひたりと直って真魚箸を構えた。	と、ひたりと直つて真魚箸を構へた。
――釵は鯉の腹を光って出た。	――釵は鯉の腹を光つて出た。
――竜宮へ往来した釵の玉の鸚鵡である。	――竜宮へ往来した釵の玉の鸚鵡である。
「太夫様――太夫様。」	「太夫様――太夫様。」
ものを言おうも知れない。	ものを言はうも知れない。
とばかりで、二声聞いたように思っただけで、何の気勢もしない。	とばかりで、二声聞いたやうに思つただけで、何の気勢もしない。
風も囁かず、公園の暗夜は寂しかった。	風も囁かず、公園の暗夜は寂しかつた。
「太夫様。」	「太夫様。」
「太夫様。」	「太夫様。」
うっかり釵を、またおさえて、	うつかり釵を、又おさへて、
「可厭だ、今度はお前さんたちかい。」	「可厭だ、今度はお前さんたちかい。」
――水のすぐれ覚ゆるは、	――水のすぐれ覚ゆるは、
西天竺の白鷺池、	西天竺の白鷺池、
じんじょうきょゆうにすみわたる、	じんじやうきよゆうにすみわたる、
昆明池の水の色、	昆明池の水の色、
行末久しく清むとかや。	行末久しく清むとかや。
「お待ち。」	「お待ち。」
紫玉は耳を澄した。	紫玉は耳を澄した。
道の露芝、曲水の汀にして、さらさらと音する流の底に、聞きも知らぬ三味線の、沈んだ、陰気な調子に合せて、微に唄う声がする。	道の露芝、曲水の汀にして、さら／＼と音する流の底に、聞きも知らぬ三味線の、沈んだ、陰気な調子に合せて、微に唄ふ声がする。
「――坊さんではないかしら……」	「――坊さんではないか知ら……」
紫玉は胸が轟いた。	紫玉は胸が轟いた。
あの漂泊の芸人は、鯉魚の神秘を視た紫玉の身には、もはや、うみ汁のごとく、唾、涎の臭い乞食坊主のみではなかったのである。	あの漂白の芸人は、鯉魚の神秘を視た紫玉の身には、最早や、うみ汁の如く、唾、涎の臭い乞食坊主のみではなかつたのである。
「……あの、三味線は、」	「……あの、三味線は、」
夜陰のこんな場所で、もしや、と思う時、掻消えるように音が留んで、ひたひたと小石を潜って響く水は、忍ぶ跫音のように聞える。	夜陰のこんな場所で、もしや、と思ふ時、掻消えるやうに音が留んで、ひた／＼と小石を潜つて響く水は、忍ぶ跫音のやうに聞える。
紫玉は立留まった。	紫玉は立留まつた。
再び、名もきかぬ三味線の音が陰々として響くと、	再び、名もきかぬ三味線の音が陰々として響くと、
――日本一にて候ぞと申しける。	――日本一にて候ぞと申しける。
鎌倉殿ことごとしや、何処にて舞いて日本一とは申しけるぞ。	鎌倉殿こと／″＼しや、何処にて舞ひて日本一とは申しけるぞ。
梶原申しけるは、一歳百日の旱の候いけるに、賀茂川、桂川、水瀬切れて流れず、筒井の水も絶えて、国土の悩みにて候いけるに、――	梶原申しけるは、一歳百日の旱の候ひけるに、賀茂川、桂川、水瀬切れて流れず、筒井の水も絶えて、国土の悩みにて候ひけるに、――
聞くものは耳を澄まして袖を合せたのである。	聞くものは耳を澄まして袖を合せたのである。
――有験の高僧貴僧百人、神泉苑の池にて、仁王経を講じ奉らば、八大竜王も慈現納受たれ給うべし、と申しければ、百人の高僧貴僧を請じ、仁王経を講ぜられしかども、その験もなかりけり。	――有験の高僧貴僧百人、神泉苑の池にて、仁王経を講じ奉らば、八大竜王も慈現納受たれ給ふべし、と申しければ、百人の高僧貴僧を請じ、仁王経を講ぜられしかども、其験もなかりけり。
また或人申しけるは、容顔美麗なる白拍子を、百人めして、――	又｜或人申しけるは、容顔美麗なる白拍子を、百人めして、――
「御坊様。」	「御坊様。」
今は疑うべき心も失せて、御坊様、と呼びつつ、紫玉が暗中を透して、声する方に、縋るように寄ると思うと、	今は疑ふべき心も失せて、御坊様、と呼びつゝ、紫玉が暗中を透して、声する方に、縋るやうに寄ると思ふと、
「燈を消せ。」	「燈を消せ。」
と、蕭びたが力ある声して言った。	と、蕭びたが力ある声して言つた。
「提灯を……」	「提灯を……」
「は、」と、返事と息を、はッはッとはずませながら、一度｜消損ねて、慌しげに吹消した。	「は、」と、返事と息を、はツはツとはずませながら、一度｜消損ねて、慌しげに吹消した。
玉野の手は震えていた。	玉野の手は震へて居た。
――百人の白拍子をして舞わせられしに、九十九人舞いたりしに、その験もなかりけり。	――百人の白拍子をして舞はせられしに、九十九人舞ひたりしに、其験もなかりけり。
静一人舞いたりとても、竜神｜示現あるべきか。	静一人舞ひたりとても、竜神示現あるべきか。
内侍所に召されて、禄おもきものにて候にと申したりければ、とても人数なれば、ただ舞わせよと仰せ下されければ、静が舞いたりけるに、しんむしょうの曲という白拍子を、――	内侍所に召されて、禄おもきものにて候にと申したりければ、とても人数なれば、唯舞はせよと仰せ下されければ、静が舞ひたりけるに、しんむしやうの曲と言ふ白拍子を、――
燈を消すと、あたりがかえって朦朧と、薄く鼠色に仄めく向うに、石の反橋の欄干に、僧形の墨の法衣、灰色になって、蹲るか、と視れば欄干に胡坐掻いて唄う。	燈を消すと、あたりが却つて朦朧と、薄く鼠色に仄めく向うに、石の反橋の欄干に、僧形の墨の法衣、灰色に成つて、蹲るか、と視れば欄干に胡坐掻いて唄ふ。
橋は心覚えのある石橋の巌組である。	橋は心覚えのある石橋の巌組である。
気が着けば、あの、かくれ滝の音は遠くどうどうと鳴って、風のごとくに響くが、掠れるほどの糸の音も乱れず、唇を合すばかりの唄も遮られず、嵐の下の虫の声。	気が着けば、あの、かくれ滝の音は遠くだう／＼と鳴つて、風の如くに響くが、掠れるほどの糸の音も乱れず、唇を合すばかりの唄も遮られず、嵐の下の虫の声。
が、形は著しいものではない、胸をくしゃくしゃと折って、坊主頭を、がく、と俯向けて唄うので、頸を抽いた転軫に掛る手つきは、鬼が角を弾くと言わば厳めしい、むしろ黒猫が居て顔を洗うというのに適する。	が、形は著しいものではない、胸をくしや／＼と折つて、坊主頭を、がく、と俯向けて唄ふので、頸を抽いた転軫に掛る手つきは、鬼が角を弾くと言はば厳めしい、寧ろ黒猫が居て顔を洗ふと言ふのに適する。
――なから舞いたりしに、御輿の岳、愛宕山の方より黒雲にわかに出来て、洛中にかかると見えければ、――	――なから舞ひたりしに、御輿の嶽、愛宕山の方より黒雲俄に出来て、洛中にかゝると見えければ、――
と唄う。	と唄ふ。
……紫玉は腰を折って地に低く居て、弟子は、その背後に蹲んだ。	……紫玉は腰を折つて地に低く居て、弟子は、其の背後に蹲んだ。
――八大竜王鳴渡りて、稲妻ひらめきしに、諸人目を驚かし、三日の洪水を流し、国土安穏なりければ、さてこそ静の舞に示現ありけるとて、日本一と宣旨を給りけると、承り候。	――八大竜王鳴渡りて、稲妻ひらめきしに、諸人目を驚かし、三日の洪水を流し、国土｜安穏なりければ、扨こそ静の舞に示現ありけるとて、日本一と宣旨を給りけると、承り候。
――	――
時に唄を留めて黙った。	時に唄を留めて黙つた。
「太夫様。」	「太夫様。」
余り尋常な、ものいいだったが、	余り尋常な、ものいひだつたが、
「は、」と、呼吸をひいて答えた紫玉の、身動ぎに、帯がキと擦れて鳴ったほど、深く身に響いて聞いたのである。	「は、」と、呼吸をひいて答へた紫玉の、身動ぎに、帯がキと擦れて鳴つたほど、深く身に響いて聞いたのである。
「癩坊主が、ねだり言を肯うて、千金の釵を棄てられた。	「癩坊主が、ねだり言を肯うて、千金の釵を棄てられた。
その心操に感じて、些細ながら、礼心に密と内証の事を申す。	其の心操に感じて、些細ながら、礼心に密と内証の事を申す。
貴女、雨乞をなさるが可い。	貴女、雨乞をなさるが可い。
――天の時、地の利、人の和、まさしく時節じゃ。	――天の時、地の利、人の和、まさしく時節ぢや。
――ここの大池の中洲の島に、かりの法壇を設けて、雨を祈ると触れてな。	――こゝの大池の中洲の島に、かりの法壇を設けて、雨を祈ると触れてな。
……袴、練衣、烏帽子、狩衣、白拍子の姿が可かろう。	……袴、練衣、烏帽子、狩衣、白拍子の姿が可からう。
衆人めぐり見る中へ、その姿をあの島の柳の上へ高く顕し、大空へ向って拝をされい。	衆人めぐり見る中へ、其の姿をあの島の柳の上へ高く顕し、大空に向つて拝をされい。
祭文にも歌にも及ばぬ。	祭文にも歌にも及ばぬ。
天竜、雲を遣り、雷を放ち、雨を漲らすは、明午を過ぎて申の上刻に分豪も相違ない。	天竜、雲を遣り、雷を放ち、雨を漲らすは、明午を過ぎて申の上刻に分毫も相違ない。
国境の山、赤く、黄に、峰岳を重ねて爛れた奥に、白蓮の花、玉の掌ほどに白く聳えたのは、四時に雪を頂いて幾万年の白山じゃ。	国境の山、赤く、黄に、峰嶽を重ねて爛れた奥に、白蓮の花、玉の掌ほどに白く聳えたのは、四時に雪を頂いて幾万年の白山ぢや。
貴女、時を計って、その鸚鵡の釵を抜いて、山の其方に向って翳すを合図に、雲は竜のごとく湧いて出よう。	貴女、時を計つて、其の鸚鵡の釵を抜いて、山の其方に向つて翳すを合図に、雲は竜の如く湧いて出よう。
――なおその上に、可いか、名を挙げられい。……」	――尚ほ其の上に、可いか、名を挙げられい。……」
――賢人の釣を垂れしは、	――賢人の釣を垂れしは、
厳陵瀬の河の水。	厳陵瀬の河の水。
月影ながらもる夏は、	月影ながらもる夏は、
山田の筧の水とかや。	山田の筧の水とかや。
翌日の午後の公園は、炎天の下に雲よりは早く黒くなって人が湧いた。	翌日の午後の公園は、炎天の下に雲よりは早く黒く成つて人が湧いた。
煉瓦を羽蟻で包んだような凄じい群集である。	煉瓦を羽蟻で包んだやうな凄じい群集である。
かりに、鎌倉殿としておこう。	かりに、鎌倉殿として置かう。
この……県に成上の豪族、色好みの男爵で、面構も風采も巨頭公によう似たのが、劇興行のはじめから他に手を貸さないで紫玉を贔屓した、既に昨夜もある処で一所になる約束があった。	此の……県に成上の豪族、色好みの男爵で、面構も風采も巨頭公に良似たのが、劇興行のはじめから他に手を貸さないで紫玉を贔屓した、既に昨夜も或処で一所に成る約束があつた。
その間の時間を、紫玉は微行したのである。	其の間の時間を、紫玉は微行したのである。
が、思いも掛けない出来事のために、大分の隙入をしたものの、船に飛んだ鯉は、そのよしを言づけて初穂というのを、氷詰めにして、紫玉から鎌倉殿へ使を走らせたほどなのであった。	が、思ひも掛けない出来事のために、大分の隙入をしたものの、船に飛んだ鯉は、其のよしを言づけて初穂と言ふのを、氷詰めにして、紫玉から鎌倉殿へ使を走らせたほどなのであつた。
車の通ずる処までは、もう自動車が来て待っていて、やがて、相会すると、ある時間までは附添って差支えない女弟子の口から、真先に予言者の不思議が漏れた。	車の通ずる処までは、最う自動車が来て待つて居て、やがて、相会すると、或時間までは附添つて差支へない女弟子の口から、真先に予言者の不思議が漏れた。
一議に及ばぬ。	一議に及ばぬ。
その夜のうちに、池の島へ足代を組んで、朝は早や法壇が調った。	其の夜のうちに、池の島へ足代を組んで、朝は早や法壇が調つた。
無論、略式である。	無論、略式である。
県社の神官に、故実の詳しいのがあって、神燈を調え、供饌を捧げた。	県社の神官に、故実の詳しいのがあつて、神燈を調へ、供饌を捧げた。
島には鎌倉殿の定紋ついた帷幕を引繞らして、威儀を正した夥多の神官が詰めた。	島には鎌倉殿の定紋ついた帷幕を引繞らして、威儀を正した夥多の神官が詰めた。
紫玉は、さきほどからここに控えたのである。	紫玉は、さきほどからこゝに控へたのである。
あの、底知れずの水に浮いた御幣は、やがて壇に登るべき立女形に対して目触りだ、と逸早く取退けさせ、樹立さしいでて蔭ある水に、例の鷁首の船を泛べて、半ば紫の幕を絞った裡には、鎌倉殿をはじめ、客分として、県の顕官、勲位の人々が、杯を置いて籠った。	あの、底知れずの水に浮いた御幣は、やがて壇に登るべき立女形に対して目触りだ、と逸早く取退けさせ、樹立さしいでて蔭ある水に、例の鷁首の船を泛べて、半ば紫の幕を絞つた裡には、鎌倉殿をはじめ、客分として、県の顕官、勲位の人々が、杯を置いて籠つた。
――雨乞に参ずるのに、杯をめぐらすという故実は聞かぬが、しかし事実である。	――雨乞に参ずるのに、杯をめぐらすと言ふ故実は聞かぬが、しかし事実である。
伶人の奏楽一順して、ヒュウと簫の音の虚空に響く時、柳の葉にちらちらと緋の袴がかかった。	伶人の奏楽一順して、ヒユウと簫の音の虚空に響く時、柳の葉にちら／＼と緋の袴がかゝつた。
群集は波を揉んで動揺を打った。	群集は波を揉んで動揺を打つた。
あれに真白な足が、と疑う、緋の袴は一段、階に劃られて、二条の紅の霞を曳きつつ、上紫に下｜萌黄なる、蝶鳥の刺繍の狩衣は、緑に透き、葉に靡いて、柳の中を、するすると、容顔美麗なる白拍子。	あれに真白な足が、と疑ふ、緋の袴は一段、階に劃られて、二条の紅の霞を曳きつゝ、上紫に下萌黄なる、蝶鳥の刺繍の狩衣は、緑に透き、葉に靡いて、柳の中を、する／＼と、容顔美麗なる白拍子。
紫玉は、色ある月の風情して、一千の花の燈の影、百を数うる雪の供饌に向うて法壇の正面にすらりと立つ。	紫玉は、色ある月の風情して、一千の花の燈の影、百を数ふる雪の供饌に向うて法壇の正面にすらりと立つ。
花火の中から、天女が斜に流れて出ても、群集はこの時くらい驚異の念は起すまい。	花火の中から、天女が斜に流れて出ても、群集は此の時くらゐ驚異の念は起すまい。
烏帽子もともにこの装束は、織ものの模範、美術の表品、源平時代の参考として、かつて博覧会にも飾られた、鎌倉殿が秘蔵の、いずれ什物であった。	烏帽子もともに此の装束は、織ものの模範、美術の表品、源平時代の参考として、嘗て博覧会にも飾られた、鎌倉殿が秘蔵の、いづれ什物であつた。
さて、遺憾ながら、この晴の舞台において、紫玉のために記すべき振事は更にない。	扨て、遺憾ながら、此の晴の舞台に於て、紫玉のために記すべき振事は更にない。
渠は学校出の女優である。	渠は学校出の女優である。
が、姿は天より天降った妙に艶なる乙女のごとく、国を囲める、その赤く黄に爛れたる峰岳を貫いて、高く柳の間に懸った。	が、姿は天より天降つた妙に艶なる乙女の如く、国を囲める、其の赤く黄に爛れたる峰嶽を貫いて、高く柳の間に懸つた。
紫玉は恭しく三たび虚空を拝した。	紫玉は恭しく三たび虚空を拝した。
時に、宮奴の装した白丁の下男が一人、露店の飴屋が張りそうな、渋の大傘を畳んで肩にかついだのが、法壇の根に顕れた。	時に、宮奴の装した白丁の下男が一人、露店の飴屋が張りさうな、渋の大傘を畳んで肩にかついだのが、法壇の根に顕れた。
――これは怪しからず、天津乙女の威厳と、場面の神聖を害って、どうやら華魁の道中じみたし、雨乞にはちと行過ぎたもののようだった。	――此は怪しからず、天津乙女の威厳と、場面の神聖を害つて、何うやら華魁の道中じみたし、雨乞には些と行過ぎたもののやうだつた。
が、何、降るものと極れば、雨具の用意をするのは賢い。	が、何、降るものと極れば、雨具の用意をするのは賢い。
……加うるに、紫玉が被いだ装束は、貴重なる宝物であるから、驚破と言わばさし掛けて濡らすまいための、鎌倉殿の内意であった。	……加ふるに、紫玉が被いだ装束は、貴重なる宝物であるから、驚破と言はばさし掛けて濡らすまいための、鎌倉殿の内意であつた。
――さればこそ、このくらい、注意の役に立ったのはあるまい。	――然ればこそ、此のくらゐ、注意の役に立つたのはあるまい。
あわれ、身のおき処がなくなって、紫玉の裾が法壇に崩れた時、「状を見ろ。」	あはれ、身のおき処がなく成つて、紫玉の裾が法壇に崩れた時、「状を見ろ。」
「や、身を投げろ。」	「や、身を投げろ。」
「飛込め。」	「飛込め。」
――わッと群集の騒いだ時、……堪らぬ、と飛上って、紫玉を圧えて、生命を取留めたのもこの下男で、同時に狩衣を剥ぎ、緋の袴の紐を引解いたのも――鎌倉殿のためには敏捷な、忠義な奴で――この下男である。	――わツと群集の騒いだ時、……堪らぬ、と飛上つて、紫玉を圧へて、生命を取留めたのも此の下男で、同時に狩衣を剥ぎ、緋の袴の紐を引解いたのも――鎌倉殿のためには敏捷な、忠義な奴で――此の下男である。
雨はもとより、風どころか、余の人出に、大池には蜻蛉も飛ばなかった。	雨はもとより、風どころか、余の人出に、大池には蜻蛉も飛ばなかつた。
時を見、程を計って、紫玉は始め、実は法壇に立って、数万の群集を足許に低き波のごとく見下しつつ、昨日通った坂にさえ蟻の伝うに似て押覆す人数を望みつつ、徐に雪の頤に結んだ紫の纓を解いて、結目を胸に、烏帽子を背に掛けた。	時を見、程を計つて、紫玉は始め、実は法壇に立つて、数万の群集を足許に低き波の如く見下しつゝ、昨日通つた坂にさへ蟻の伝ふに似て押覆す人数を望みつゝ、徐に雪の頤に結んだ紫の纓を解いて、結目を胸に、烏帽子を背に掛けた。
それから伯爵の釵を抜いて、意気込んで一振り振ると、……黒髪の颯と捌けたのが烏帽子の金に裏透いて、さながら金屏風に名誉の絵師の、松風を墨で流したようで、雲も竜もそこから湧くか、と視められた。	其から伯爵の釵を抜いて、意気込んで一振り振ると、……黒髪の颯と捌けたのが烏帽子の金に裏透いて、宛然金屏風に名誉の絵師の、松風を墨で流したやうで、雲も竜も其処から湧くか、と視められた。
――これだけは工夫した女優の所作で、手には白金が匕首のごとく輝いて、凄艶比類なき風情であった。	――此だけは工夫した女優の所作で、手には白金が匕首の如く輝いて、凄艶比類なき風情であつた。
さてその鸚鵡を空に翳した。	さて其の鸚鵡を空に翳した。
紫玉の睜った瞳には、確に天際の僻辺に、美女の掌に似た、白山は、白く清く映ったのである。	紫玉の睜つた瞳には、確に天際の僻辺に、美女の掌に似た、白山は、白く清く映つたのである。
毛筋ほどの雲も見えぬ。	毛筋ほどの雲も見えぬ。
雨乞の雨は、いずれも後刻の事にして、そのまま壇を降ったらば無事だったろう。	雨乞の雨は、いづれ後刻の事にして、其のまゝ壇を降つたらば無事だつたらう。
ところが、遠雷の音でも聞かすか、暗転にならなければ、舞台に馴れた女優だけに幕が切れない。	処が、遠雷の音でも聞かすか、暗転に成らなければ、舞台に馴れた女優だけに幕が切れない。
紫玉は、しかし、目前鯉魚の神異を見た、怪しき僧の暗示と讖言を信じたのであるから、今にも一片の雲は法衣の袖のように白山の眉に飜るであろうと信じて、しばしを待つ間を、法壇を二廻り三廻り緋の袴して輪に歩行いた。	紫玉は、しかし、目前鯉魚の神異を見た、怪しき僧の暗示と讖言を信じたのであるから、今にも一片の雲は法衣の袖のやうに白山の眉に飜るであらうと信じて、須叟を待つ間を、法壇を二廻り三廻り緋の袴して輪に歩行いた。
が、これは鎮守の神巫に似て、しかもなんば、という足どりで、少なからず威厳を損じた。	が、此は鎮守の神巫に似て、然もなんば、と言ふ足どりで、少なからず威厳を損じた。
群集の思わんほども憚られて、腋の下に衝と冷き汗を覚えたのこそ、天人の五衰のはじめとも言おう。	群集の思はんほども憚られて、腋の下に衝と冷き汗を覚えたのこそ、天人の五衰のはじめとも言はう。
気をかえて屹となって、もの忘れした後見に烈しくきっかけを渡す状に、紫玉は虚空に向って伯爵の鸚鵡を投げた。	気をかへて屹と成つて、もの忘れした後見に烈しくきつかけを渡す状に、紫玉は虚空に向つて伯爵の鸚鵡を投げた。
が、あの玩具の竹蜻蛉のように、晃々と高く舞った。	が、あの玩具の竹蜻蛉のやうに、晃々と高く舞つた。
「大神楽！」	「大神楽！」
と喚いたのが第一番の半畳で。	と喚いたのが第一番の半畳で。
一人口火を切ったから堪らない。	一人｜口火を切つたから堪らない。
練馬大根と言う、おかめと喚く。	練馬大根と言ふ、おかめと喚く。
雲の内侍と呼ぶ、雨しょぼを踊れ、と怒鳴る。	雲の内侍と呼ぶ、雨しよぼを踊れ、と怒鳴る。
水の輪の拡がり、嵐の狂うごとく、聞くも堪えない讒謗罵詈は雷のごとく哄と沸く。	水の輪の拡がり、嵐の狂ふ如く、聞くも堪へない讒謗罵詈は雷の如く哄と沸く。
鎌倉殿は、船中において嚇怒した。	鎌倉殿は、船中に於て嚇怒した。
愛寵せる女優のために群集の無礼を憤ったのかと思うと、――そうではない。	愛寵せる女優のために群集の無礼を憤つたのかと思ふと、――然うではない。
この、好色の豪族は、疾く雨乞の験なしと見て取ると、日の昨の、短夜もはや半ばなりし紗の蚊帳の裡を想い出した。	這般、好色の豪族は、疾く雨乞の験なしと見て取ると、日の昨の、短夜もはや半ばなりし紗の蚊帳の裡を想ひ出した。
雨乞のためとて、精進潔斎させられたのであるから。	雨乞のためとて、精進潔斎させられたのであるから。
「漕げ。」	「漕げ。」
紫幕の船は、矢を射るように島へ走る。	紫幕の船は、矢を射るように島へ走る。
一度、駆下りようとした紫玉の緋裳は、この船の激しく襲ったために、一度引留められたものである。	一度、駆下りようとした紫玉の緋裳は、此の船の激しく襲つたために、一度｜引留められたものである。
「…………」	「…………」
と喚く鎌倉殿の、何やら太い声に、最初、白丁に豆烏帽子で傘を担いだ宮奴は、島のなる幕の下を這って、ヌイと面を出した。	と喚く鎌倉殿の、何やら太い声に、最初、白丁に豆烏帽子で傘を担いだ宮奴は、島になる幕の下を這つて、ヌイと面を出した。
すぐに此奴が法壇へ飛上った、その疾さ。	すぐに此奴が法壇へ飛上つた、其の疾さ。
紫玉がもはや、と思い切って池に飛ぼうとする処を、圧えて、そして剥いだ。	紫玉が最早、と思ひ切つて池に飛ばうとする処を、圧へて、そして剥いだ。
女の身としてあらりょうか。	女の身としてあられうか。
あの、雪を束ねた白いものの、壇の上にひれ伏した、あわれな状は、月を祭る供物に似て、非ず、旱魃の鬼一口の犠牲である。	あの、雪を束ねた白いものの、壇の上にひれ伏した、あはれな状は、月を祭る供物に似て、非ず、旱魃の鬼一口の犠牲である。
ヒイと声を揚げて弟子が二人、幕の内で、手放しにわっと泣いた。	ヒイと声を揚げて弟子が二人、幕の内で、手放しにわつと泣いた。
赤ら顔の大入道の、首抜きの浴衣の尻を、七のずまで引めくったのが、苦り切ったる顔して、つかつかと、階を踏んで上った、金方か何ぞであろう、芝居もので。	赤ら顔の大入道の、首抜きの浴衣の尻を、七のづまで引めくつたのが、苦り切つたる顔して、つか／＼と、階を踏んで上つた、金方か何ぞであらう、芝居もので。
肩をむずと取ると、	肩を無手と取ると、
「何だ、状は。	「何だ、状は。
小町や静じゃあるめえし、増長しやがるからだ。」	小町や静ぢやあるめえし、増長をしやがるからだ。」
手の裏かえす無情さは、足も手もぐたりとした、烈日に裂けかかる氷のような練絹の、紫玉のふくよかな胸を、酒焼の胸に引掴み、毛脛に挟んで、	手の裏かへす無情さは、足も手もぐたりとした、烈日に裂けかゝる氷のやうな練絹の、紫玉の、ふくよかな胸を、酒焼の胸に引掴み、毛脛に挟んで、
「立たねえかい。」	「立たねえかい。」
「口惜しい！」	「口惜しい！」
紫玉は舷に縋って身を震わす。	紫玉は舷に縋つて身を震はす。
――真夜中の月の大池に、影の沈める樹の中に、しぼめる睡蓮のごとく漾いつつ。	――真夜中の月の大池に、影の沈める樹の中に、しぼめる睡蓮の如く漾ひつゝ。
「口惜しいねえ。」	「口惜しいねえ。」
車馬の通行を留めた場所とて、人目の恥に歩行みもならず、――金方の計らいで、――万松亭という汀なる料理店に、とにかく引籠る事にした。	車馬の通行を留めた場所とて、人目の恥に歩行みも成らず、――金方の計らひで、――万松亭と言ふ汀なる料理店に、とに角引籠る事にした。
紫玉はただ引被いで打伏した。	紫玉は唯引被いで打伏した。
が、金方は油断せず。	が、金方は油断せず。
弟子たちにも旨を含めた。	弟子たちにも旨を含めた。
で、次場所の興行かくては面白かるまいと、やけ酒を煽っていたが、酔倒れて、それは寝た。	で、次場所の興行｜恁くては面白かるまいと、やけ酒を煽つて居たが、酔倒れて、其は寝た。
料理店の、あの亭主は、心｜優いもので、起居にいたわりつ、慰めつ、で、これも注意はしたらしいが、深更のしかも夏の夜の戸鎖浅ければ、伊達巻の跣足で忍んで出る隙は多かった。	料理店の、あの亭主は、心｜優いもので、起居にいたはりつ、慰めつ、で、此も注意はしたらしいが、深更の然も夏の夜の戸鎖浅ければ、伊達巻の跣足で忍んで出る隙は多かつた。
生命の惜からぬ身には、操るまでの造作も要らぬ。	生命の惜からぬ身には、操るまでの造作も要らぬ。
小さな通船は、胸の悩みに、身もだえするままに揺動いて、萎れつつ、乱れつつ、根を絶えた小船の花の面影は、昼の空とは世をかえて、皓々として雫する月の露吸う力もない。	小さな通船は、胸の悩みに、身もだえするまゝに揺動いて、萎れつゝ、乱れつゝ、根を絶えた小船の花の面影は、昼の空とは世をかへて、皓々として雫する月の露吸ふ力もない。
「ええ、口惜しい。」	「えゝ、口惜しい。」
乱れがみを毮りつつ、手で、砕けよ、とハタと舷を打つと……時の間に痩せた指は細くなって、右の手の四つの指環は明星に擬えた金剛石のをはじめ、紅玉も、緑宝玉も、スルリと抜けて、きらきらと、薄紅に、浅緑に皆水に落ちた。	乱れがみを毮りつゝ、手で、砕けよ、とハタと舷を打つと……時の間に痩せた指は細く成つて、右の手の四つの指環は明星に擬へた金剛石のをはじめ、紅玉も、緑宝玉も、スルリと抜けて、きらきらと、薄紅に、浅緑に皆水に落ちた。
どうでもなれ、左を試みに振ると、青玉も黄玉も、真珠もともに、月の美しい影を輪にして沈む、……竜の口は、水の輪に舞う処である。	何うでもなれ、左を試みに振ると、青玉も黄玉も、真珠もともに、月の美しい影を輪にして沈む、……竜の口は、水の輪に舞ふ処である。
ここに残るは、名なればそれを誇として、指にも髪にも飾らなかった、紫の玉ただ一つ。	こゝに残るは、名なれば其を誇として、指にも髪にも飾らなかつた、紫の玉｜唯一つ。
――紫玉は、中高な顔に、深く月影に透かして差覗いて、千尋の淵の水底に、いま落ちた玉の緑に似た、門と柱と、欄干と、あれ、森の梢の白鷺の影さえ宿る、櫓と、窓と、楼と、美しい住家を視た。	――紫玉は、中高な顔に、深く月影に透かして差覗いて、千尋の淵の水底に、いま落ちた玉の緑に似た、門と柱と、欄干と、あれ、森の梢の白鷺の影さへ宿る、櫓と、窓と、楼と、美しい住家を視た。
「ぬしにもなって、この、この田舎のものども。」	「ぬしにも成つて、此、此の田舎のものども。」
縋る波に力あり、しかと引いて水を掴んで、池に倒に身を投じた。	縋る波に力あり、しかと引いて水を掴んで、池に倒に身を投じた。
爪尖の沈むのが、釵の鸚鵡の白く羽うつがごとく、月光に微に光った。	爪尖の沈むのが、釵の鸚鵡の白く羽うつが如く、月光に微に光つた。
「御坊様、貴方は？」	「御坊様、貴方は？」
